// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc
// command took 3.01s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc
// command took 5.69s and exited with 0
// ***** Done, took 00:00:08 (8.91 sec)   *****
// Found 6 benchmarks:
//   MappingBenchmarks.ManualMapOpFor: DefaultJob
//   MappingBenchmarks.ExpressMapper: DefaultJob
//   MappingBenchmarks.AutoMapper: DefaultJob
//   MappingBenchmarks.MapsterAdaptWithoutConfig: DefaultJob
//   MappingBenchmarks.MapsterAdaptWithConfig: DefaultJob
//   MappingBenchmarks.MapsterAdaptToType: DefaultJob

// **************************
// Benchmark: MappingBenchmarks.ManualMapOpFor: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ce406b45-7557-4458-8f12-b15d7628b2cc.dll" --benchmarkName "MappingExperiments.MappingBenchmarks.ManualMapOpFor" --job "Default" --benchmarkId 0 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.3 (CoreCLR 5.0.321.7212, CoreFX 5.0.321.7212), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 737600.00 ns, 737.6000 us/op
WorkloadResult  23: 1 op, 26800.00 ns, 26.8000 us/op
WorkloadResult  24: 1 op, 25100.00 ns, 25.1000 us/op
WorkloadResult  25: 1 op, 40800.00 ns, 40.8000 us/op
WorkloadResult  26: 1 op, 33300.00 ns, 33.3000 us/op
WorkloadResult  27: 1 op, 24300.00 ns, 24.3000 us/op
WorkloadResult  28: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  29: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadResult  30: 1 op, 27100.00 ns, 27.1000 us/op
WorkloadResult  31: 1 op, 27300.00 ns, 27.3000 us/op
WorkloadResult  32: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadResult  33: 1 op, 30700.00 ns, 30.7000 us/op
WorkloadResult  34: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadResult  35: 1 op, 39600.00 ns, 39.6000 us/op
WorkloadResult  36: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadResult  37: 1 op, 19600.00 ns, 19.6000 us/op
WorkloadResult  38: 1 op, 55100.00 ns, 55.1000 us/op
WorkloadResult  39: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadResult  40: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadResult  41: 1 op, 24700.00 ns, 24.7000 us/op
WorkloadResult  42: 1 op, 26600.00 ns, 26.6000 us/op
WorkloadResult  43: 1 op, 23000.00 ns, 23.0000 us/op
WorkloadResult  44: 1 op, 26700.00 ns, 26.7000 us/op
WorkloadResult  45: 1 op, 28700.00 ns, 28.7000 us/op
WorkloadResult  46: 1 op, 31500.00 ns, 31.5000 us/op
WorkloadResult  47: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadResult  48: 1 op, 23400.00 ns, 23.4000 us/op
WorkloadResult  49: 1 op, 30300.00 ns, 30.3000 us/op
WorkloadResult  50: 1 op, 32800.00 ns, 32.8000 us/op
WorkloadResult  51: 1 op, 34600.00 ns, 34.6000 us/op
WorkloadResult  52: 1 op, 23700.00 ns, 23.7000 us/op
WorkloadResult  53: 1 op, 36700.00 ns, 36.7000 us/op
WorkloadResult  54: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadResult  55: 1 op, 39100.00 ns, 39.1000 us/op
WorkloadResult  56: 1 op, 54100.00 ns, 54.1000 us/op
WorkloadResult  57: 1 op, 38900.00 ns, 38.9000 us/op
WorkloadResult  58: 1 op, 30900.00 ns, 30.9000 us/op
WorkloadResult  59: 1 op, 53400.00 ns, 53.4000 us/op
WorkloadResult  60: 1 op, 52000.00 ns, 52.0000 us/op
WorkloadResult  61: 1 op, 41900.00 ns, 41.9000 us/op
WorkloadResult  62: 1 op, 36900.00 ns, 36.9000 us/op
WorkloadResult  63: 1 op, 51000.00 ns, 51.0000 us/op
WorkloadResult  64: 1 op, 36200.00 ns, 36.2000 us/op
WorkloadResult  65: 1 op, 42400.00 ns, 42.4000 us/op
WorkloadResult  66: 1 op, 33200.00 ns, 33.2000 us/op
WorkloadResult  67: 1 op, 43400.00 ns, 43.4000 us/op
WorkloadResult  68: 1 op, 35200.00 ns, 35.2000 us/op
WorkloadResult  69: 1 op, 37700.00 ns, 37.7000 us/op
WorkloadResult  70: 1 op, 45400.00 ns, 45.4000 us/op
WorkloadResult  71: 1 op, 43800.00 ns, 43.8000 us/op
WorkloadResult  72: 1 op, 28900.00 ns, 28.9000 us/op
WorkloadResult  73: 1 op, 56800.00 ns, 56.8000 us/op
WorkloadResult  74: 1 op, 32300.00 ns, 32.3000 us/op
WorkloadResult  75: 1 op, 27500.00 ns, 27.5000 us/op
WorkloadResult  76: 1 op, 35500.00 ns, 35.5000 us/op
WorkloadResult  77: 1 op, 47100.00 ns, 47.1000 us/op
WorkloadResult  78: 1 op, 52500.00 ns, 52.5000 us/op
WorkloadResult  79: 1 op, 27800.00 ns, 27.8000 us/op
WorkloadResult  80: 1 op, 32600.00 ns, 32.6000 us/op
WorkloadResult  81: 1 op, 35700.00 ns, 35.7000 us/op
WorkloadResult  82: 1 op, 48000.00 ns, 48.0000 us/op
WorkloadResult  83: 1 op, 26500.00 ns, 26.5000 us/op
WorkloadResult  84: 1 op, 47000.00 ns, 47.0000 us/op
WorkloadResult  85: 1 op, 28400.00 ns, 28.4000 us/op
WorkloadResult  86: 1 op, 27700.00 ns, 27.7000 us/op
WorkloadResult  87: 1 op, 26400.00 ns, 26.4000 us/op
WorkloadResult  88: 1 op, 26000.00 ns, 26.0000 us/op
WorkloadResult  89: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  90: 1 op, 38600.00 ns, 38.6000 us/op
WorkloadResult  91: 1 op, 36400.00 ns, 36.4000 us/op
WorkloadResult  92: 1 op, 31800.00 ns, 31.8000 us/op
WorkloadResult  93: 1 op, 26800.00 ns, 26.8000 us/op
WorkloadResult  94: 1 op, 26200.00 ns, 26.2000 us/op
WorkloadResult  95: 1 op, 30700.00 ns, 30.7000 us/op
GC:  0 0 0 520 1
Threading:  0 0 1

// AfterAll
// Benchmark Process 1756 has exited with code 0

Mean = 33.356 μs, StdErr = 0.907 μs (2.72%), N = 95, StdDev = 8.839 μs
Min = 19.600 μs, Q1 = 26.750 μs, Median = 31.400 μs, Q3 = 38.150 μs, Max = 56.800 μs
IQR = 11.400 μs, LowerFence = 9.650 μs, UpperFence = 55.250 μs
ConfidenceInterval = [30.275 μs; 36.436 μs] (CI 99.9%), Margin = 3.081 μs (9.24% of Mean)
Skewness = 0.87, Kurtosis = 3, MValue = 2.13

// **************************
// Benchmark: MappingBenchmarks.AutoMapper: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ce406b45-7557-4458-8f12-b15d7628b2cc.dll" --benchmarkName "MappingExperiments.MappingBenchmarks.AutoMapper" --job "Default" --benchmarkId 2 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.3 (CoreCLR 5.0.321.7212, CoreFX 5.0.321.7212), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 748700.00 ns, 748.7000 us/op
WorkloadJitting  1: 1 op, 344389300.00 ns, 344.3893 ms/op

WorkloadWarmup   1: 1 op, 252500.00 ns, 252.5000 us/op
WorkloadWarmup   2: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadWarmup   3: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadWarmup   4: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadWarmup   5: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadWarmup   6: 1 op, 13000.00 ns, 13.0000 us/op
WorkloadWarmup   7: 1 op, 29400.00 ns, 29.4000 us/op
WorkloadWarmup   8: 1 op, 27700.00 ns, 27.7000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadActual   2: 1 op, 27300.00 ns, 27.3000 us/op
WorkloadActual   3: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadActual   4: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual   5: 1 op, 29200.00 ns, 29.2000 us/op
WorkloadActual   6: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadActual   7: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadActual   8: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadActual   9: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadActual  10: 1 op, 10700.00 ns, 10.7000 us/op
WorkloadActual  11: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadActual  12: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadActual  13: 1 op, 19600.00 ns, 19.6000 us/op
WorkloadActual  14: 1 op, 12800.00 ns, 12.8000 us/op
WorkloadActual  15: 1 op, 13500.00 ns, 13.5000 us/op
WorkloadActual  16: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadActual  17: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadActual  18: 1 op, 51700.00 ns, 51.7000 us/op
WorkloadActual  19: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadActual  20: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadActual  21: 1 op, 29100.00 ns, 29.1000 us/op
WorkloadActual  22: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadActual  23: 1 op, 14200.00 ns, 14.2000 us/op
WorkloadActual  24: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadActual  25: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadActual  26: 1 op, 13300.00 ns, 13.3000 us/op
WorkloadActual  27: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadActual  28: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  29: 1 op, 19400.00 ns, 19.4000 us/op
WorkloadActual  30: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadActual  31: 1 op, 20600.00 ns, 20.6000 us/op
WorkloadActual  32: 1 op, 15900.00 ns, 15.9000 us/op
WorkloadActual  33: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadActual  34: 1 op, 15600.00 ns, 15.6000 us/op
WorkloadActual  35: 1 op, 13700.00 ns, 13.7000 us/op
WorkloadActual  36: 1 op, 22100.00 ns, 22.1000 us/op
WorkloadActual  37: 1 op, 19000.00 ns, 19.0000 us/op
WorkloadActual  38: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadActual  39: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadActual  40: 1 op, 23600.00 ns, 23.6000 us/op
WorkloadActual  41: 1 op, 13600.00 ns, 13.6000 us/op
WorkloadActual  42: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadActual  43: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadActual  44: 1 op, 33100.00 ns, 33.1000 us/op
WorkloadActual  45: 1 op, 14500.00 ns, 14.5000 us/op
WorkloadActual  46: 1 op, 15900.00 ns, 15.9000 us/op
WorkloadActual  47: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadActual  48: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadActual  49: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadActual  50: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadActual  51: 1 op, 26500.00 ns, 26.5000 us/op
WorkloadActual  52: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadActual  53: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadActual  54: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadActual  55: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadActual  56: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadActual  57: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadActual  58: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadActual  59: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadActual  60: 1 op, 12900.00 ns, 12.9000 us/op
WorkloadActual  61: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadActual  62: 1 op, 22200.00 ns, 22.2000 us/op
WorkloadActual  63: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadActual  64: 1 op, 13200.00 ns, 13.2000 us/op
WorkloadActual  65: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadActual  66: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadActual  67: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadActual  68: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadActual  69: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadActual  70: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadActual  71: 1 op, 19800.00 ns, 19.8000 us/op
WorkloadActual  72: 1 op, 12900.00 ns, 12.9000 us/op
WorkloadActual  73: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  74: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadActual  75: 1 op, 25700.00 ns, 25.7000 us/op
WorkloadActual  76: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadActual  77: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadActual  78: 1 op, 24900.00 ns, 24.9000 us/op
WorkloadActual  79: 1 op, 14000.00 ns, 14.0000 us/op
WorkloadActual  80: 1 op, 12600.00 ns, 12.6000 us/op
WorkloadActual  81: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadActual  82: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadActual  83: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  84: 1 op, 10600.00 ns, 10.6000 us/op
WorkloadActual  85: 1 op, 9800.00 ns, 9.8000 us/op
WorkloadActual  86: 1 op, 26800.00 ns, 26.8000 us/op
WorkloadActual  87: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadActual  88: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadActual  89: 1 op, 40700.00 ns, 40.7000 us/op
WorkloadActual  90: 1 op, 24900.00 ns, 24.9000 us/op
WorkloadActual  91: 1 op, 41300.00 ns, 41.3000 us/op
WorkloadActual  92: 1 op, 28200.00 ns, 28.2000 us/op
WorkloadActual  93: 1 op, 37300.00 ns, 37.3000 us/op
WorkloadActual  94: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadActual  95: 1 op, 83100.00 ns, 83.1000 us/op
WorkloadActual  96: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadActual  97: 1 op, 28500.00 ns, 28.5000 us/op
WorkloadActual  98: 1 op, 31800.00 ns, 31.8000 us/op
WorkloadActual  99: 1 op, 28600.00 ns, 28.6000 us/op
WorkloadActual  100: 1 op, 26800.00 ns, 26.8000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadResult   2: 1 op, 27300.00 ns, 27.3000 us/op
WorkloadResult   3: 1 op, 22900.00 ns, 22.9000 us/op
WorkloadResult   4: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadResult   5: 1 op, 29200.00 ns, 29.2000 us/op
WorkloadResult   6: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadResult   7: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadResult   8: 1 op, 22400.00 ns, 22.4000 us/op
WorkloadResult   9: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadResult  10: 1 op, 10700.00 ns, 10.7000 us/op
WorkloadResult  11: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  12: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadResult  13: 1 op, 19600.00 ns, 19.6000 us/op
WorkloadResult  14: 1 op, 12800.00 ns, 12.8000 us/op
WorkloadResult  15: 1 op, 13500.00 ns, 13.5000 us/op
WorkloadResult  16: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadResult  17: 1 op, 10200.00 ns, 10.2000 us/op
WorkloadResult  18: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadResult  19: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadResult  20: 1 op, 29100.00 ns, 29.1000 us/op
WorkloadResult  21: 1 op, 20200.00 ns, 20.2000 us/op
WorkloadResult  22: 1 op, 14200.00 ns, 14.2000 us/op
WorkloadResult  23: 1 op, 18200.00 ns, 18.2000 us/op
WorkloadResult  24: 1 op, 21600.00 ns, 21.6000 us/op
WorkloadResult  25: 1 op, 13300.00 ns, 13.3000 us/op
WorkloadResult  26: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadResult  27: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadResult  28: 1 op, 19400.00 ns, 19.4000 us/op
WorkloadResult  29: 1 op, 20100.00 ns, 20.1000 us/op
WorkloadResult  30: 1 op, 20600.00 ns, 20.6000 us/op
WorkloadResult  31: 1 op, 15900.00 ns, 15.9000 us/op
WorkloadResult  32: 1 op, 19100.00 ns, 19.1000 us/op
WorkloadResult  33: 1 op, 15600.00 ns, 15.6000 us/op
WorkloadResult  34: 1 op, 13700.00 ns, 13.7000 us/op
WorkloadResult  35: 1 op, 22100.00 ns, 22.1000 us/op
WorkloadResult  36: 1 op, 19000.00 ns, 19.0000 us/op
WorkloadResult  37: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  38: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadResult  39: 1 op, 23600.00 ns, 23.6000 us/op
WorkloadResult  40: 1 op, 13600.00 ns, 13.6000 us/op
WorkloadResult  41: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadResult  42: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadResult  43: 1 op, 33100.00 ns, 33.1000 us/op
WorkloadResult  44: 1 op, 14500.00 ns, 14.5000 us/op
WorkloadResult  45: 1 op, 15900.00 ns, 15.9000 us/op
WorkloadResult  46: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadResult  47: 1 op, 31400.00 ns, 31.4000 us/op
WorkloadResult  48: 1 op, 24800.00 ns, 24.8000 us/op
WorkloadResult  49: 1 op, 18100.00 ns, 18.1000 us/op
WorkloadResult  50: 1 op, 26500.00 ns, 26.5000 us/op
WorkloadResult  51: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadResult  52: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadResult  53: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadResult  54: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadResult  55: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadResult  56: 1 op, 20900.00 ns, 20.9000 us/op
WorkloadResult  57: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadResult  58: 1 op, 22500.00 ns, 22.5000 us/op
WorkloadResult  59: 1 op, 12900.00 ns, 12.9000 us/op
WorkloadResult  60: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult  61: 1 op, 22200.00 ns, 22.2000 us/op
WorkloadResult  62: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadResult  63: 1 op, 13200.00 ns, 13.2000 us/op
WorkloadResult  64: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadResult  65: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadResult  66: 1 op, 22600.00 ns, 22.6000 us/op
WorkloadResult  67: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadResult  68: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadResult  69: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadResult  70: 1 op, 19800.00 ns, 19.8000 us/op
WorkloadResult  71: 1 op, 12900.00 ns, 12.9000 us/op
WorkloadResult  72: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadResult  73: 1 op, 16000.00 ns, 16.0000 us/op
WorkloadResult  74: 1 op, 25700.00 ns, 25.7000 us/op
WorkloadResult  75: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  76: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadResult  77: 1 op, 24900.00 ns, 24.9000 us/op
WorkloadResult  78: 1 op, 14000.00 ns, 14.0000 us/op
WorkloadResult  79: 1 op, 12600.00 ns, 12.6000 us/op
WorkloadResult  80: 1 op, 19900.00 ns, 19.9000 us/op
WorkloadResult  81: 1 op, 21500.00 ns, 21.5000 us/op
WorkloadResult  82: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadResult  83: 1 op, 10600.00 ns, 10.6000 us/op
WorkloadResult  84: 1 op, 9800.00 ns, 9.8000 us/op
WorkloadResult  85: 1 op, 26800.00 ns, 26.8000 us/op
WorkloadResult  86: 1 op, 25300.00 ns, 25.3000 us/op
WorkloadResult  87: 1 op, 38700.00 ns, 38.7000 us/op
WorkloadResult  88: 1 op, 24900.00 ns, 24.9000 us/op
WorkloadResult  89: 1 op, 28200.00 ns, 28.2000 us/op
WorkloadResult  90: 1 op, 37300.00 ns, 37.3000 us/op
WorkloadResult  91: 1 op, 24500.00 ns, 24.5000 us/op
WorkloadResult  92: 1 op, 21900.00 ns, 21.9000 us/op
WorkloadResult  93: 1 op, 28500.00 ns, 28.5000 us/op
WorkloadResult  94: 1 op, 31800.00 ns, 31.8000 us/op
WorkloadResult  95: 1 op, 28600.00 ns, 28.6000 us/op
WorkloadResult  96: 1 op, 26800.00 ns, 26.8000 us/op
GC:  0 0 0 360 1
Threading:  0 0 1

// AfterAll
// Benchmark Process 9936 has exited with code 0

Mean = 19.080 μs, StdErr = 0.662 μs (3.47%), N = 96, StdDev = 6.487 μs
Min = 9.800 μs, Q1 = 13.400 μs, Median = 18.800 μs, Q3 = 22.675 μs, Max = 38.700 μs
IQR = 9.275 μs, LowerFence = -0.512 μs, UpperFence = 36.587 μs
ConfidenceInterval = [16.832 μs; 21.328 μs] (CI 99.9%), Margin = 2.248 μs (11.78% of Mean)
Skewness = 0.65, Kurtosis = 2.96, MValue = 3.23

// **************************
// Benchmark: MappingBenchmarks.MapsterAdaptWithoutConfig: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "ce406b45-7557-4458-8f12-b15d7628b2cc.dll" --benchmarkName "MappingExperiments.MappingBenchmarks.MapsterAdaptWithoutConfig" --job "Default" --benchmarkId 3 in C:\Users\Valentin\source\repos\MappingExperiments\bin\Release\net5.0\ce406b45-7557-4458-8f12-b15d7628b2cc\bin\Release\netcoreapp5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 5.0.3 (CoreCLR 5.0.321.7212, CoreFX 5.0.321.7212), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 742800.00 ns, 742.8000 us/op
WorkloadJitting  1: 1 op, 435473400.00 ns, 435.4734 ms/op

WorkloadWarmup   1: 1 op, 19800.00 ns, 19.8000 us/op
WorkloadWarmup   2: 1 op, 14300.00 ns, 14.3000 us/op
WorkloadWarmup   3: 1 op, 8400.00 ns, 8.4000 us/op
WorkloadWarmup   4: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadWarmup   5: 1 op, 18900.00 ns, 18.9000 us/op
WorkloadWarmup   6: 1 op, 7400.00 ns, 7.4000 us/op
WorkloadWarmup   7: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadWarmup   8: 1 op, 11800.00 ns, 11.8000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 10700.00 ns, 10.7000 us/op
WorkloadActual   2: 1 op, 15200.00 ns, 15.2000 us/op
WorkloadActual   3: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadActual   4: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadActual   5: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadActual   6: 1 op, 9200.00 ns, 9.2000 us/op
WorkloadActual   7: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadActual   8: 1 op, 13900.00 ns, 13.9000 us/op
WorkloadActual   9: 1 op, 7000.00 ns, 7.0000 us/op
WorkloadActual  10: 1 op, 7700.00 ns, 7.7000 us/op
WorkloadActual  11: 1 op, 9300.00 ns, 9.3000 us/op
WorkloadActual  12: 1 op, 12800.00 ns, 12.8000 us/op
WorkloadActual  13: 1 op, 8600.00 ns, 8.6000 us/op
WorkloadActual  14: 1 op, 14300.00 ns, 14.3000 us/op
WorkloadActual  15: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadActual  16: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadActual  17: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadActual  18: 1 op, 19700.00 ns, 19.7000 us/op
WorkloadActual  19: 1 op, 13500.00 ns, 13.5000 us/op
WorkloadActual  20: 1 op, 8700.00 ns, 8.7000 us/op
WorkloadActual  21: 1 op, 9400.00 ns, 9.4000 us/op
WorkloadActual  22: 1 op, 13100.00 ns, 13.1000 us/op
WorkloadActual  23: 1 op, 6600.00 ns, 6.6000 us/op
WorkloadActual  24: 1 op, 6900.00 ns, 6.9000 us/op
WorkloadActual  25: 1 op, 29400.00 ns, 29.4000 us/op
WorkloadActual  26: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadActual  27: 1 op, 8800.00 ns, 8.8000 us/op
WorkloadActual  28: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadActual  29: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadActual  30: 1 op, 7700.00 ns, 7.7000 us/op
WorkloadActual  31: 1 op, 14200.00 ns, 14.2000 us/op
WorkloadActual  32: 1 op, 9100.00 ns, 9.1000 us/op
WorkloadActual  33: 1 op, 13100.00 ns, 13.1000 us/op
WorkloadActual  34: 1 op, 9000.00 ns, 9.0000 us/op
WorkloadActual  35: 1 op, 7500.00 ns, 7.5000 us/op
WorkloadActual  36: 1 op, 7500.00 ns, 7.5000 us/op
WorkloadActual  37: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadActual  38: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  39: 1 op, 7000.00 ns, 7.0000 us/op
WorkloadActual  40: 1 op, 15700.00 ns, 15.7000 us/op
WorkloadActual  41: 1 op, 8000.00 ns, 8.0000 us/op
WorkloadActual  42: 1 op, 15800.00 ns, 15.8000 us/op
WorkloadActual  43: 1 op, 7400.00 ns, 7.4000 us/op
WorkloadActual  44: 1 op, 20500.00 ns, 20.5000 us/op
WorkloadActual  45: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  46: 1 op, 10000.00 ns, 10.0000 us/op
WorkloadActual  47: 1 op, 7800.00 ns, 7.8000 us/op
WorkloadActual  48: 1 op, 18300.00 ns, 18.3000 us/op
WorkloadActual  49: 1 op, 13600.00 ns, 13.6000 us/op
WorkloadActual  50: 1 op, 12900.00 ns, 12.9000 us/op
WorkloadActual  51: 1 op, 15800.00 ns, 15.8000 us/op
WorkloadActual  52: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  53: 1 op, 7600.00 ns, 7.6000 us/op
WorkloadActual  54: 1 op, 7600.00 ns, 7.6000 us/op
WorkloadActual  55: 1 op, 24100.00 ns, 24.1000 us/op
WorkloadActual  56: 1 op, 15100.00 ns, 15.1000 us/op
